Day,Bag_ID,Tea_type,BeforeWeight,WeightBagLabel,BeforeWeight(TeaOnly),AfterWeight(BagLabel),AfterWeight(TeaOnly),WeightLoss,WeightLossPercentage
20,G257,G,2.11,0.25960,1.85,1.18,0.85,1.00,54.1
20,G250,G,2.07,0.25960,1.81,1.19,0.86,0.95,52.5
20,G244,G,2.04,0.25960,1.78,1.05,0.74,1.04,58.4
20,G252,G,2.08,0.25960,1.82,1.05,0.69,1.13,62.1
20,R262,R,2.20,0.26082,1.94,1.95,1.64,0.30,15.4
20,R90,R,2.26,0.26082,2.00,1.86,1.55,0.45,22.5
20,R63,R,2.31,0.26082,2.05,1.82,1.50,0.55,26.8
20,R68,R,2.26,0.26082,2.00,1.70,1.48,0.52,26.0
25,G260,G,2.09,0.25960,1.83,0.99,0.65,1.18,64.49
25,G261,G,2.05,0.25960,1.79,1,0.66,1.13,63.14
25,G269,G,1.94,0.25960,1.68,1.09,0.76,0.92,54.77
25,G274,G,2.02,0.25960,1.76,1.19,0.86,0.90,51.15
25,R70,R,2.30,0.260815,2.04,1.82,1.49,0.55,26.93
25,R76,R,2.24,0.260815,1.98,1.92,1.59,0.39,19.66
25,R79,R,2.21,0.260815,1.95,1.84,1.52,0.43,22.02
25,R95,R,2.22,0.260815,1.96,1.78,1.46,0.50,25.48
30,G249,G,2.01,0.25960,1.75,1.14,0.82,0.93,46.29
30,G242,G,2.04,0.25960,1.78,1.14,0.82,0.96,47.08
30,G256,G,2.13,0.25960,1.87,1.06,0.72,1.15,54.01
30,G251,G,2.05,0.25960,1.79,1.33,0.99,0.80,39.04
30,R259,R,2.27,0.26082,2.01,1.82,1.51,0.50,22.0
30,R261,R,2.27,0.26082,2.01,1.89,1.57,0.44,19.3
30,R254,R,2.19,0.26082,1.93,1.84,1.53,0.40,18.2
30,R263,R,2.30,0.26082,2.04,1.93,1.61,0.43,18.7